order_id,user_id,order_date,item_id,item_price,qty,city,payment_type,order_status
o1,u160,2023-11-29 14:41:00,i114,937.24,3,Ahmedabad,cash,delivered
o2,u23,2023-11-24 03:40:00,i172,1053.83,2,Kolkata,upi,delivered
o3,u225,2023-10-20 03:38:00,i102,552.84,5,Chennai,netbanking,delivered
o4,u320,2023-12-12 02:14:00,i42,519.24,2,Bangalore,netbanking,delivered
o5,u131,2023-10-17 18:50:00,i144,598.53,5,Pune,upi,delivered
o6,u481,2023-09-10 14:22:00,i52,914.61,5,Chennai,card,delivered
o7,u19,2023-02-27 17:43:00,i149,1504.07,1,Mumbai,netbanking,delivered
o8,u26,2023-09-29 13:33:00,i78,854.01,3,Mumbai,upi,delivered
o9,u390,2023-09-18 10:43:00,i18,1923.16,4,Kolkata,card,delivered
o10,u105,2023-07-23 00:49:00,i8,1255.2,5,Hyderabad,cash,delivered
o11,u387,2023-09-20 00:53:00,i101,1160.75,4,Hyderabad,card,delivered
o12,u203,2023-09-03 08:39:00,i87,521.11,3,Kolkata,upi,delivered
o13,u314,2023-01-15 18:02:00,i120,952.58,5,Mumbai,cash,returned
o14,u477,2023-04-29 05:06:00,i63,964.55,2,Hyderabad,cash,delivered
o15,u221,2023-04-22 14:33:00,i173,1859.78,3,Chennai,cash,delivered
o16,u123,2023-11-07 01:27:00,i105,1379.05,3,Hyderabad,upi,delivered
o17,u498,2023-02-13 00:49:00,i34,1904.36,3,Ahmedabad,card,delivered
o18,u344,2023-09-10 17:00:00,i76,1651.01,5,Bangalore,upi,delivered
o19,u160,2023-08-08 00:37:00,i10,1050.17,2,Hyderabad,upi,delivered
o20,u224,2023-09-28 12:05:00,i74,1194.49,1,Mumbai,cash,delivered
o21,u253,2023-01-19 23:25:00,i33,1452.29,4,Kolkata,upi,cancelled
o22,u33,2023-01-26 13:19:00,i101,1599.15,4,Bangalore,upi,returned
o23,u275,2023-01-09 23:20:00,i18,1650.16,5,Mumbai,card,cancelled
o24,u22,2023-05-03 11:04:00,i200,101.68,3,Mumbai,netbanking,delivered
o25,u368,2023-06-29 07:38:00,i114,1332.97,1,Bangalore,card,delivered
o26,u232,2023-05-08 21:16:00,i15,428.25,2,Ahmedabad,upi,delivered
o27,u118,2023-11-24 14:52:00,i51,1246.36,5,Kolkata,netbanking,delivered
o28,u135,2023-10-17 23:30:00,i126,1523.07,3,Mumbai,upi,delivered
o29,u99,2023-07-17 00:26:00,i175,1031.5,5,Delhi,card,delivered
o30,u71,2023-04-24 16:32:00,i17,1080.72,4,Chennai,card,delivered
o31,u427,2023-01-06 11:58:00,i140,1748.0,1,Kolkata,cash,delivered
o32,u236,2023-06-22 19:57:00,i120,1235.53,4,Ahmedabad,cash,returned
o33,u351,2023-03-26 03:05:00,i81,1583.05,3,Pune,card,delivered
o34,u51,2023-06-22 04:51:00,i171,1726.72,3,Bangalore,card,cancelled
o35,u303,2023-05-29 18:33:00,i176,997.71,5,Chennai,card,delivered
o36,u314,2023-11-27 23:58:00,i3,1099.51,2,Delhi,netbanking,delivered
